paper_id,Cluster,share_pct
5639,13,0.44544202265
5639,0,0.134305316543
5640,6,26.4757539421
5640,11,17.2480275147
5640,7,15.5956905854
5640,8,7.41315114999
5640,9,6.33149012022
5640,1,6.06277248688
5640,5,5.77588118949
5640,14,4.68482016506
5640,4,3.89055315559
5640,3,3.35260140169
5640,10,1.81248287824
5640,12,0.667246086916
5640,13,0.384598090816
5640,0,0.304931232947
5641,6,20.1200831365
5641,11,17.0405986333
5641,7,14.9717114964
5641,8,9.1932134387
5641,9,5.55304869352
5641,5,5.51472417413
5641,4,5.20563926668
5641,14,4.94200802463
5641,10,4.41504417183
5641,2,3.94246936709
5641,3,3.46290275127
5641,1,3.19066517468
5641,13,1.86259249797
5641,12,0.415623534664
5641,0,0.169675638715
5642,7,21.9612544712
5642,11,19.0765157
5642,8,9.16330364005
5642,9,8.79184624223
5642,5,8.67985134573
5642,4,5.1702864375
5642,14,5.12706089406
5642,1,5.04084708362
5642,2,4.05061844866
5642,3,3.34693922992
5642,10,3.30525603607
5642,6,3.20782159241
5642,13,1.94536063412
5642,12,0.7538623144
5642,0,0.379175930082
5643,7,20.5614440619
5643,8,16.5464292352
5643,5,11.9133053194
5643,11,9.53703577319
5643,3,7.406201369
5643,14,7.29110551979
5643,6,7.29048138483
5643,9,7.01596294574
5643,1,4.86399267527
5643,4,4.13393527839
5643,13,1.4538065191
5643,10,1.19571756125
5643,12,0.674959575279
5643,0,0.115622781673
5644,7,22.422627288
5644,8,11.4868220365
5644,9,10.6756010346
5644,11,10.4436816639
5644,6,9.38594087421
5644,14,8.163428237
5644,1,7.25756611609
5644,5,5.57214602609
5644,3,4.05075801562
5644,10,4.02031579817
5644,4,3.52978857372
5644,13,1.85322490548
5644,0,0.60357383014
5644,12,0.534525600575
5645,11,14.3302369508
5645,7,13.7736223465
5645,8,13.3089895709
5645,6,10.4434110049
5645,9,10.2669372235
5645,2,8.32208628914
5645,5,5.98976057059
5645,13,5.16155495605
5645,3,4.56229880975
5645,10,4.3828868961
5645,14,3.64900747882
5645,4,2.75876061178
5645,1,2.38145500312
5645,12,0.439696264942
5645,0,0.229296023094
5646,11,21.5459264441
5646,6,12.4335775132
5646,14,11.5355447673
5646,7,9.62720929525
5646,10,9.27285401019
5646,5,9.19432800667
5646,8,6.03231319872
5646,9,5.542585813
5646,4,3.84424417215
5646,1,3.67343751405
5646,3,2.57392122078
5646,2,2.41429183878
5646,13,1.44673401129
5646,12,0.609520521911
5646,0,0.253511672557
5647,7,21.5418105293
5647,11,14.9851172367
5647,9,14.8182994046
5647,5,12.6181524827
5647,8,12.2492587097
5647,6,6.28110234533
5647,14,4.52390707809
5647,4,3.58226526607
5647,1,2.85958821294
5647,3,2.62981074259
5647,13,1.84136260684
5647,10,1.22575007871
5647,12,0.47648998223
5647,0,0.367085324328
5648,6,17.9697741084
5648,8,14.4316879357
5648,7,13.1601202797
5648,5,12.0509124894
5648,11,11.5538449265
5648,9,7.08625653826
5648,14,5.1579339118
5648,1,4.81479883308
5648,13,4.04523836118
5648,10,3.46232371047
5648,3,2.7905003453
5648,4,2.69047032953
5648,12,0.500090759838
5648,0,0.286047470892
5649,7,13.7177978157
5649,11,12.0591536152
5649,14,10.1050061094
5649,8,9.52116725628
5649,4,8.9414771384
5649,9,7.71300829462
5649,5,7.11012036321
5649,10,7.01896795934
5649,1,6.04323905484
5649,2,5.63735545459
5649,6,5.52421009285
5649,3,4.17877509603
5649,13,1.77198988027
5649,12,0.358842309328
5649,0,0.298889559891
5650,2,36.0784316897
5650,6,20.367433913
5650,7,11.1939121562
5650,3,5.09612140036
5650,11,4.7187990205
5650,5,3.73623177545
5650,1,3.45521868809
5650,9,3.35648855522
5650,8,3.01179956957
5650,4,2.9740857529
5650,14,2.64075864684
5650,10,1.79555958718
5650,13,0.890250837195
5650,12,0.536032158239
5650,0,0.148876249479
5651,7,17.6132551168
5651,11,15.7039873438
5651,6,13.7177832829
5651,2,13.4735189261
5651,8,9.98024753031
5651,9,8.9486810706
5651,5,6.02237561003
5651,3,3.21976333916
5651,4,3.18787303207
5651,1,2.93174186131
5651,13,1.78817255301
